"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH","PA","AVG","OBP","SLG","OPS"
"189","MOISES GUTIERREZ",13,1,1,0,0,0,1,0,2,0,0,0,0,13,0.077,0.077,0.077,0.154
"190","NIKO VASQUEZ",49,11,18,6,0,4,14,7,10,3,0,0,0,56,0.367,0.475,0.939,1.414
"191","OLMO ROSARIO",57,8,14,2,0,3,10,6,6,0,1,1,0,64,0.246,0.312,0.526,0.838
"192","OMAR MEZA",2,4,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0
"193","OMAR RENTERIA",46,6,10,2,0,0,5,5,10,0,0,1,0,52,0.217,0.288,0.304,0.592
"194","OSCAR SANAY",31,2,8,0,0,0,3,2,5,2,0,1,0,34,0.258,0.333,0.258,0.591
"195","OSCAR WILLIAMS",17,0,5,0,0,0,2,0,2,1,0,1,1,19,0.294,0.316,0.294,0.61
"196","OZIEL FLORES",20,4,8,1,1,1,1,3,4,1,0,0,1,24,0.4,0.5,0.85,1.35
"197","PAUL LEON",53,4,14,1,0,0,2,7,11,0,0,0,0,60,0.264,0.35,0.302,0.652
"198","PEDRO ARENAS",2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
"199","QUINCY LATIMORE",61,16,26,6,1,4,15,9,7,0,0,1,0,71,0.426,0.493,0.934,1.427
"200","RAINEL ROSARIO",35,7,14,2,0,0,6,3,4,2,0,0,0,38,0.4,0.475,0.514,0.989
"201","RAMIRO PENA",48,10,14,3,0,1,7,2,4,1,1,0,0,50,0.292,0.333,0.5,0.833
"202","RAMON OSUNA",26,6,9,1,0,3,5,3,12,1,0,0,0,29,0.346,0.433,0.885,1.318
"203","RAMON R RAMIREZ",18,2,2,0,0,0,0,3,6,0,0,0,1,22,0.111,0.238,0.111,0.349
"204","RAMON RIOS",48,5,15,1,0,1,6,4,3,1,0,1,0,53,0.312,0.37,0.438,0.808
"205","RAYMUNDO TORRES",22,4,11,2,1,1,6,3,4,0,1,0,0,25,0.5,0.56,1,1.56
"206","REFUGIO CERVANTES",7,0,1,0,0,0,2,0,2,0,0,0,0,7,0.143,0.143,0.143,0.286
"207","RICARDO NANITA",13,2,2,0,0,0,0,2,2,0,0,0,0,15,0.154,0.267,0.154,0.421
"208","RICARDO SERRANO",56,4,14,2,0,0,5,3,11,0,0,1,2,62,0.25,0.283,0.321,0.604
"209","RICARDO VALENZUELA",22,1,6,1,0,1,4,1,2,0,0,0,2,25,0.273,0.304,0.545,0.849
"210","RICHY PEDROZA",41,9,14,1,0,1,5,6,7,1,3,2,1,50,0.341,0.42,0.488,0.908
"211","RICKY ALVAREZ",61,13,26,11,0,3,13,1,10,0,2,3,0,65,0.426,0.415,0.984,1.399
"212","RICKY RODRIGUEZ",51,11,14,1,2,2,15,5,27,3,0,3,0,59,0.275,0.355,0.588,0.943
"213","ROBERTO LOPEZ",11,2,3,0,0,1,1,0,2,2,0,0,2,13,0.273,0.385,0.636,1.021
"214","ROBERTO VALENZUELA",4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"215","RODOLFO AMADOR",43,5,13,2,0,1,4,4,2,2,0,0,0,47,0.302,0.388,0.488,0.876
"216","ROGELIO DEL CAMPO",25,3,4,0,0,1,2,4,6,0,0,0,0,29,0.16,0.276,0.32,0.596
"217","ROGELIO NORIS",27,1,5,1,0,1,4,1,10,2,0,0,0,28,0.185,0.267,0.407,0.674
"218","ROLANDO ACOSTA",53,8,15,1,0,3,7,4,10,1,0,0,0,57,0.283,0.345,0.547,0.892
"219","ROLANDO MARTINEZ",3,0,1,1,0,0,2,0,0,2,0,0,0,3,0.333,0.6,1,1.6
"220","RONNIER MUSTELIER",59,7,19,5,0,1,5,6,8,0,0,0,0,65,0.322,0.385,0.559,0.944
"221","RUBEN RIVERA",23,2,6,1,0,1,4,0,3,1,0,0,0,23,0.261,0.292,0.522,0.814
"222","RUBEN SOSA",55,8,16,5,0,1,7,12,14,2,5,2,1,70,0.291,0.423,0.545,0.968
"223","RYLAN SANDOVAL",4,1,2,0,0,0,2,0,2,0,0,0,0,4,0.5,0.5,0.5,1
"224","SAMAR LEYVA",55,10,14,1,0,0,4,2,10,3,1,0,1,58,0.255,0.317,0.291,0.608
"225","SAMMY AYALA",5,0,1,0,0,0,0,0,4,0,0,0,0,5,0.2,0.2,0.2,0.4
"226","SAUL SOTO",46,7,12,3,0,1,5,5,7,0,0,2,0,53,0.261,0.321,0.478,0.799
"227","SEBASTIAN VALLE",15,1,2,0,0,1,3,3,9,0,0,0,0,18,0.133,0.278,0.4,0.678
"228","SERGIO BURRUEL",48,9,14,3,0,1,8,4,14,0,1,1,1,54,0.292,0.34,0.5,0.84
"229","SERGIO CONTRERAS",9,4,1,0,0,0,1,5,0,0,0,0,0,14,0.111,0.429,0.111,0.54
"230","SERGIO GARCIA",46,2,13,4,0,0,4,0,8,0,0,0,1,47,0.283,0.283,0.457,0.74
"231","SERGIO PEREZ",27,8,14,3,1,0,8,3,3,0,1,0,0,30,0.519,0.567,0.852,1.419
"232","STEVE CARRILLO",30,3,6,0,0,0,3,1,7,1,0,0,0,31,0.2,0.25,0.2,0.45
"233","TONY CAMPANA",65,12,21,4,0,0,2,2,8,0,8,0,5,72,0.323,0.343,0.446,0.789
"234","URIAK MARQUEZ",49,10,13,1,0,3,13,4,9,1,4,2,2,57,0.265,0.321,0.551,0.872
