,Pitcher_Name,H,HR,R,ER,SO,BB,BK,W,L,HLD,SV,IP,ERA,WHIP
208,RENE COSS,1,0,2,2,0,1,0,0,0,0,0,0.1,54.00,6.00
209,RICARDO JACQUEZ,1,0,0,0,0,1,1,0,0,0,0,1.0,0.00,2.00
210,RICARDO RIVERO,2,0,1,1,1,0,0,0,0,0,0,0.1,27.00,6.00
211,ROBERT GARCIA,5,1,4,3,3,1,0,0,0,0,0,4.1,6.23,1.38
212,ROBERTO ESPINOSA,1,0,0,0,3,1,0,1,0,0,0,3.0,0.00,0.67
213,ROBINSON LOPEZ,10,1,8,8,2,6,1,0,1,0,0,7.2,9.39,2.09
214,RODOLFO AGUILAR,3,0,1,1,3,0,0,0,0,0,0,1.2,5.40,1.80
215,RODOLFO AGUIRRE,5,0,3,3,1,0,0,1,0,0,0,2.1,11.57,2.14
216,RODRIGO VALENZUELA,6,0,3,3,3,0,0,0,0,0,0,1.2,16.20,3.60
217,ROGELIO BERNAL,5,0,1,1,4,3,0,0,0,0,0,4.1,2.08,1.85
218,ROGELIO MARTINEZ,1,0,1,0,1,2,0,0,0,0,0,2.2,0.00,1.12
219,ROLANDO VALDEZ,12,2,6,5,4,0,0,0,1,0,0,8.0,5.62,1.50
220,ROMAN PENA,4,0,0,0,1,0,0,0,0,0,0,4.1,0.00,0.92
221,ROMARIO GIL,3,0,1,1,4,2,0,0,0,0,0,4.1,2.08,1.15
222,RONALD BELISARIO,3,0,0,0,1,1,0,0,0,0,1,4.1,0.00,0.92
223,ROY MERRITT,6,0,2,2,3,2,0,0,0,0,0,4.0,4.50,2.00
224,RUBEN VICENTE,0,0,0,0,1,0,0,0,0,0,0,3.0,0.00,0.00
225,RUDDY ACOSTA,8,0,8,6,6,4,0,0,1,0,0,9.0,6.00,1.33
226,RYAN PEREZ,5,2,3,3,3,4,0,0,1,0,0,4.0,6.75,2.25
227,SALVADOR VALDEZ,4,0,1,1,3,2,0,0,0,0,0,5.2,1.59,1.06
228,SAMUEL ZAZUETA,1,0,4,4,1,2,1,0,1,0,0,0.2,54.00,4.50
229,SANTIAGO GUTIERREZ,2,0,1,1,1,1,0,0,0,0,0,1.1,6.75,2.25
230,SASAGI SANCHEZ,4,1,1,1,2,1,0,0,0,1,0,5.0,1.80,1.00
231,SERGIO ALVARADO,0,0,0,0,2,2,0,0,0,0,0,2.0,0.00,1.00
232,SERGIO MITRE,1,0,0,0,1,0,0,0,0,0,0,1.0,0.00,1.00
233,SERGIO SIERRA,4,1,2,2,2,4,0,0,0,0,0,2.0,9.00,4.00
234,TERANCE MARIN,5,0,2,2,5,0,0,0,0,0,0,6.0,3.00,0.83
235,THOMAS MELGAREJO,2,1,1,1,0,1,0,0,0,0,0,1.1,6.75,2.25
236,TIAGO DA SILVA,5,0,2,1,6,1,0,1,0,0,0,5.2,1.59,1.06
237,TOMAS SOLIS,3,0,1,1,3,0,0,0,0,0,0,4.0,2.25,0.75
238,TONY CORDOVA,4,0,0,0,1,1,0,0,0,0,0,0.2,0.00,7.50
239,TONY GUERRA,2,0,0,0,1,2,0,0,0,0,0,2.2,0.00,1.50
240,TYLER KANE,6,1,2,2,0,1,0,1,0,0,0,5.0,3.60,1.40
241,ULISES JOAQUIN,10,0,6,6,0,2,0,0,1,0,0,3.1,16.20,3.60
242,VICTOR ESPINOSA,5,1,4,3,5,3,0,0,1,0,0,6.0,4.50,1.33
243,WES TORREZ,5,0,2,1,3,2,0,0,0,0,0,2.2,3.38,2.62
244,WILMER RIOS,3,0,0,0,2,0,0,0,0,0,0,3.0,0.00,1.00
245,WIRFIN OBISPO,5,1,2,2,8,1,0,0,0,0,1,4.0,4.50,1.50
246,YOANNER NEGRIN,9,1,4,4,1,2,0,0,0,0,0,5.0,7.20,2.20
247,YOHAN FLANDE,7,0,4,4,3,1,1,0,0,0,0,4.2,7.71,1.71
248,YOSSHEL HURTADO,2,0,1,1,0,2,0,1,0,0,0,2.0,4.50,2.00
249,ZACH PHILLIPS,3,0,1,0,3,1,0,0,0,1,0,4.0,0.00,1.00
