"","total_splits","season","num_teams","rank","games_played","ground_outs","air_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","avg","at_bats","obp","slg","ops","caught_stealing","stolen_bases","stolen_base_percentage","ground_into_double_play","number_of_pitches","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","babip","ground_outs_to_airouts","catchers_interference","at_bats_per_home_run","team_id","team_name","team_link","player_id","player_full_name","player_link","player_first_name","player_last_name","league_id","league_name","league_link","sport_id","sport_link","sport_abbreviation","position_code","position_name","position_type","position_abbreviation","player_pool","type_display_name","group_display_name"
"45",450,"2024",2,45,55,60,54,42,10,5,3,33,26,0,72,3,".336",214,".412",".472",".884",6,11,".647",5,941,248,101,27,80,3,2,".383","1.11",0,"71.33",442,"Olmecas de Tabasco","/api/v1/teams/442",661270,"Roel Santos","/api/v1/people/661270","Roel","Santos",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","8","Outfielder","Outfielder","CF","ALL","season","hitting"
"46",450,"2024",1,46,87,112,89,60,15,4,8,32,15,0,114,2,".336",339,".364",".475",".839",6,5,".455",9,1119,364,161,38,96,4,4,".350","1.26",0,"42.38",520,"Pericos de Puebla","/api/v1/teams/520",634739,"Miguel Guzman","/api/v1/people/634739","Miguel","Guzman",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","3","First Base","Infielder","1B","ALL","season","hitting"
"47",450,"2024",1,47,52,48,30,23,8,2,1,22,9,0,48,1,".336",143,".377",".441",".818",3,2,".400",4,521,158,63,19,56,4,1,".388","1.60",0,"143.00",447,"Algodoneros Union Laguna","/api/v1/teams/447",804107,"Albert Lara","/api/v1/people/804107","Albert","Lara",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","6","Shortstop","Infielder","SS","ALL","season","hitting"
"48",450,"2024",1,48,80,80,94,71,23,0,16,52,20,1,110,3,".335",328,".375",".552",".927",5,8,".615",3,1292,359,181,49,137,4,4,".356","0.85",0,"20.50",6303,"Conspiradores de Queretaro","/api/v1/teams/6303",593700,"Alen Hanson","/api/v1/people/593700","Alen","Hanson",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","4","Second Base","Infielder","2B","ALL","season","hitting"
"49",450,"2024",1,49,2,0,0,0,0,0,0,2,0,0,1,0,".333",3,".333",".333",".666",0,0,".---",0,16,3,1,1,3,0,0,"1.000","-.--",0,"-.--",502,"Saraperos de Saltillo","/api/v1/teams/502",656352,"Braxton Davidson","/api/v1/people/656352","Braxton","Davidson",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","X","Unknown","Unknown","X","ALL","season","hitting"
"50",450,"2024",1,49,7,3,7,4,1,0,0,3,3,0,6,0,".333",18,".409",".389",".798",0,0,".---",1,74,22,7,5,8,0,1,".375","0.43",0,"-.--",532,"Diablos Rojos del Mexico","/api/v1/teams/532",641569,"Xavier Fernández","/api/v1/people/641569","Xavier","Fernández",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","hitting"
"51",450,"2024",1,49,33,2,5,7,0,0,0,5,2,0,6,1,".333",18,".429",".333",".762",1,0,".000",0,72,21,6,0,6,0,0,".462","0.40",0,"-.--",528,"Rieleros de Aguascalientes","/api/v1/teams/528",653248,"Amilcar Gomez","/api/v1/people/653248","Amilcar","Gomez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","9","Outfielder","Outfielder","RF","ALL","season","hitting"
"52",450,"2024",1,49,87,115,50,62,19,0,11,54,37,1,107,7,".333",321,".408",".495",".903",7,6,".462",16,1361,370,159,70,146,0,5,".368","2.30",0,"29.18",6303,"Conspiradores de Queretaro","/api/v1/teams/6303",642721,"Kelvin Gutiérrez","/api/v1/people/642721","Kelvin","Gutiérrez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","6","Shortstop","Infielder","SS","ALL","season","hitting"
"53",450,"2024",1,49,3,1,0,0,0,0,0,1,0,0,1,0,".333",3,".333",".333",".666",0,0,".---",0,12,3,1,0,2,0,0,".500","1.00",0,"-.--",5010,"Toros de Tijuana","/api/v1/teams/5010",828331,"Diago Machado","/api/v1/people/828331","Diago","Machado",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","9","Outfielder","Outfielder","RF","ALL","season","hitting"
"54",450,"2024",1,49,6,2,0,1,0,0,0,0,0,0,1,0,".333",3,".333",".333",".666",0,0,".---",0,9,3,1,0,2,0,0,".333","2.00",0,"-.--",520,"Pericos de Puebla","/api/v1/teams/520",680023,"Daniel Mercado","/api/v1/people/680023","Daniel","Mercado",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","hitting"
