"","Season","Name","Team","POS","GP","GS","INN","A","PO","E","F%","DP","TP","CS","SB","CS%","PB","PK"
"211","2024","Bernardo Flores Jr.","TIG","P",15,4,"26.2",4,0,0,"1.000",1,0,NA,NA,NA,NA,NA
"212","2024","Fernando Flores","VER","C",20,13,"124.0",3,123,0,"1.000",2,0,2,4,0.333333333333333,0,0
"213","2024","Fernando Flores","VER","1B",4,0,"12.0",0,10,0,"1.000",2,0,NA,NA,NA,NA,NA
"214","2024","Jecksson Flores","MVA","2B",1,0,"1.0",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"215","2024","Jecksson Flores","MVA","LF",15,4,"56.2",0,12,0,"1.000",0,0,NA,NA,NA,NA,NA
"216","2024","Jecksson Flores","MVA","RF",37,36,"310.2",4,67,0,"1.000",1,0,NA,NA,NA,NA,NA
"217","2024","Oziel Flores","CHI","P",1,0,"1.0",1,0,0,"1.000",1,0,NA,NA,NA,NA,NA
"218","2024","Oziel Flores","CHI","SS",4,0,"8.0",5,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"219","2024","Oziel Flores","CHI","LF",19,3,"59.0",1,16,0,"1.000",1,0,NA,NA,NA,NA,NA
"220","2024","Oziel Flores","CHI","CF",11,8,"75.0",0,18,0,"1.000",0,0,NA,NA,NA,NA,NA
"221","2024","Oziel Flores","CHI","RF",3,1,"10.0",0,5,0,"1.000",0,0,NA,NA,NA,NA,NA
"222","2024","Ramón Flores","MEX","LF",6,4,"41.0",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"223","2024","Ramón Flores","MEX","CF",19,14,"137.0",0,34,0,"1.000",0,0,NA,NA,NA,NA,NA
"224","2024","Ramón Flores","MEX","RF",24,20,"182.2",3,36,0,"1.000",0,0,NA,NA,NA,NA,NA
"225","2024","Ti'Quan Forbes","QRO","1B",1,0,"1.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"226","2024","Ti'Quan Forbes","QRO","2B",6,4,"35.0",11,9,0,"1.000",3,0,NA,NA,NA,NA,NA
"227","2024","Ti'Quan Forbes","QRO","3B",25,9,"99.2",16,16,0,"1.000",3,0,NA,NA,NA,NA,NA
