Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Alfredo Amezaga,QUI,39,2,5,7,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
Eduardo Mendivil,QUI,25,5,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Hector Garanzuay,PUE,36,6,6,6,3,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0.5
Endy Chavez,PUE,39,60,262,288,94,78,11,0,5,38,40,22,1,19,0,0,4,3,1,5,0.359
Jon Del Campo,PUE,29,24,79,89,27,23,4,0,0,15,10,7,1,10,1,2,0,1,3,1,0.342
Jesus Arredondo,PUE,26,69,260,296,85,56,20,1,8,47,52,30,4,44,2,3,1,8,5,3,0.327
Cesar Tapia,PUE,34,65,239,278,78,55,15,0,8,42,40,33,4,27,3,3,0,13,5,0,0.326
Alberto Carreon,PUE,29,71,280,315,86,67,13,2,4,55,34,19,0,36,5,4,7,16,11,7,0.307
Issmael Salas,PUE,34,68,277,309,84,59,16,0,9,36,35,26,1,25,5,0,1,9,2,1,0.303
Daniel Sanchez,PUE,24,26,73,77,22,16,3,0,3,11,11,3,0,12,0,1,0,3,0,0,0.301
Cole Gillespie,PUE,33,41,162,186,48,35,11,0,2,32,26,19,2,34,1,3,1,7,4,2,0.296
Daniel Cornejo,PUE,26,17,44,47,13,12,1,0,0,5,1,1,0,9,1,1,0,1,2,0,0.295
Dan Johnson,PUE,37,30,107,133,31,19,6,1,5,16,19,21,2,23,4,1,0,0,0,1,0.29
Carlos Penuelas,PUE,29,16,45,47,13,12,0,1,0,3,6,1,0,4,0,0,1,0,0,0,0.289
Ricky Rodriguez,PUE,24,66,235,265,67,46,13,1,7,38,46,20,2,72,7,3,0,5,2,3,0.285
J.P. Ramirez,PUE,27,43,117,123,33,27,6,0,0,15,12,3,0,22,2,1,0,6,3,0,0.282
Nate Freiman,PUE,30,28,100,126,28,16,5,1,6,20,18,20,2,18,3,3,0,4,0,0,0.28
Valentin Gamez,PUE,34,29,58,71,16,14,2,0,0,10,6,9,2,8,1,0,3,3,0,0,0.276
Jonathan Salazar,PUE,23,19,30,34,8,7,0,1,0,4,1,3,0,3,0,0,1,0,1,0,0.267
Sergio Perez,PUE,27,36,113,124,30,23,6,1,0,21,10,8,0,22,2,0,1,4,3,1,0.265
Sammy Ayala,PUE,22,9,17,18,3,3,0,0,0,0,2,1,0,7,0,0,0,1,0,0,0.176
Jason Pridie,PUE,33,2,6,8,1,1,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0.167
Francisco Salas,PUE,24,11,22,29,3,3,0,0,0,1,1,3,0,3,3,0,1,1,0,0,0.136
Miguel Guzman,PUE,21,18,15,17,1,1,0,0,0,3,0,0,0,1,0,0,2,0,1,1,0.067
Jaime Brena,OAX,36,48,170,204,57,46,10,0,1,22,11,20,0,19,7,0,7,6,2,1,0.335
Carlos Garzon,OAX,25,5,9,10,3,2,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0.333
Alan Sanchez,OAX,28,64,259,282,86,67,12,2,5,35,33,19,5,43,1,0,3,6,2,4,0.332
Erick Rodriguez,OAX,37,62,186,200,60,54,4,1,1,16,20,11,0,14,0,0,3,4,1,2,0.323
Carlos Lopez,OAX,20,23,47,50,15,11,3,0,1,6,7,2,0,13,0,1,0,0,0,0,0.319
Samar Leyva,OAX,22,66,232,250,69,53,13,1,2,31,25,9,0,34,6,0,2,6,6,3,0.297
Raymundo Torres,OAX,23,46,148,174,42,31,9,0,2,22,14,23,0,37,0,0,3,6,0,2,0.284
Alejandro Gonzalez,OAX,31,63,230,261,65,43,12,5,5,31,38,20,2,61,7,3,1,7,3,1,0.283
Victor Santos,OAX,22,35,44,48,12,7,3,0,2,11,2,1,0,12,1,0,2,3,1,1,0.273
Jose Martinez,OAX,27,62,224,248,61,31,21,3,6,24,28,18,0,56,2,4,0,4,1,1,0.272
Yancarlo Angulo,OAX,30,47,151,175,41,27,10,2,2,21,14,18,0,26,2,1,3,5,0,2,0.272
