"","Pitcher_Name","OUT","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV"
"187","MARCO CARRILLO",49,18,3,9,8,9,4,0,0,0,0,0
"188","MARCO MENDIVIL",7,5,0,1,1,0,0,0,0,0,0,0
"189","MARCO QUEVEDO",38,14,2,4,4,8,3,0,1,0,1,0
"190","MARCO RAMIREZ",14,6,0,5,5,4,4,0,1,0,0,0
"191","MARCO TOVAR",56,6,2,2,2,10,9,0,3,0,0,0
"192","MARCOS MACHADO",11,10,2,8,8,2,2,0,0,0,0,0
"193","MARCOS RIVAS",27,5,1,1,1,3,1,0,0,0,2,0
"194","MARIO GONZALEZ",53,24,2,10,8,7,2,0,1,1,0,0
"195","MARIO MEZA",5,4,0,3,3,1,0,0,0,0,0,0
"196","MARIO MORALES",32,12,2,6,6,4,4,1,0,0,4,0
"197","MARK SERRANO",14,4,2,2,2,5,0,0,0,0,2,0
"198","MARK SIMON",15,5,2,3,3,6,1,0,0,0,0,0
"199","MARLON ARIAS",59,22,2,17,17,15,16,0,0,1,0,0
"200","MARTIN SOTELO",20,18,3,15,14,2,4,0,0,0,1,0
"201","MAURICIO LARA",36,17,1,11,9,13,6,0,0,1,0,0
"202","MICHAELANGELO GUZMAN",6,7,1,6,4,1,5,0,0,1,0,0
"203","MIGUEL MEJIA",34,13,2,5,5,8,2,0,2,0,1,1
"204","MIGUEL PENA",28,10,1,7,6,2,5,0,0,0,0,0
"205","MITCH LAMBSON",73,20,1,6,5,14,6,0,3,0,0,0
"206","NATHANAEL SANTIAGO",26,7,0,6,6,13,5,0,0,0,3,0
"207","NESTOR MOLINA",60,7,0,0,0,16,4,0,3,0,0,0
"208","NICK STRUCK",30,8,0,1,1,9,3,0,2,1,3,0
"209","NICOLAS HEREDIA",23,10,1,7,7,9,3,0,0,0,0,0
"210","NORMAN ELENES",24,5,0,2,1,7,4,1,1,0,0,0
"211","OCTAVIO ACOSTA",93,27,3,13,12,26,7,0,1,0,0,0
"212","ORLANDO LARA",45,14,3,7,7,13,3,0,1,1,0,0
"213","OSCAR FELIX",11,4,1,6,6,4,3,0,0,0,1,0
"214","OSCAR HURTADO",29,16,0,15,15,8,14,0,0,0,3,0
"215","OSCAR VERDUGO",45,22,4,15,15,11,4,0,0,1,0,0
"216","OSWALDO MARTINEZ",17,6,1,2,2,2,4,0,1,0,0,0
"217","OZZIE MENDEZ",14,5,0,3,2,5,3,0,0,0,2,0
"218","PABLO ORTEGA",6,6,4,4,4,6,0,0,0,0,0,0
"219","PATRICK JOHNSON",30,9,0,4,3,6,2,0,1,1,0,0
"220","PATRICK MCCOY",18,4,0,0,0,4,0,0,0,0,3,0
"221","PAUL CLEMENS",24,5,1,2,2,5,3,0,0,0,0,0
"222","PAUL PAEZ",6,3,0,5,5,1,4,0,0,0,0,0
"223","PEDRO RODRIGUEZ",23,3,0,0,0,4,2,0,0,0,0,5
"224","PEDRO VILLARREAL",19,3,1,2,2,2,0,0,0,0,1,0
"225","PHIL COKE",48,8,0,4,4,15,1,0,2,1,0,0
"226","RAFAEL DIAZ",31,9,3,5,5,9,3,0,0,0,0,0
"227","RAFAEL MARTIN",25,4,1,1,1,12,0,0,0,1,0,5
"228","RAFAEL PINEDA",39,15,0,7,7,9,6,0,0,0,0,0
"229","RAUL BARRON",18,10,0,4,4,6,1,0,0,0,0,3
"230","RAUL CARRILLO",47,23,4,12,11,11,5,0,1,1,0,0
"231","RAUL VALDES",31,10,2,4,4,10,3,0,2,0,0,0
"232","REFUGIO MARIN",7,5,0,2,2,0,4,0,0,0,0,0
"233","REINIER ROIBAL",35,17,0,10,10,12,5,0,0,2,1,0
"234","RENE COSS",6,4,0,5,5,1,3,0,0,0,0,0
"235","RICARDO JACQUEZ",9,6,0,2,2,3,2,1,0,1,0,0
"236","RICARDO RIVERO",7,5,0,1,1,1,2,0,0,0,1,0
"237","ROBERT GARCIA",31,13,1,7,6,9,7,1,1,0,0,0
"238","ROBERTO ESPINOSA",12,5,2,4,4,4,2,0,1,1,1,0
"239","ROBINSON LOPEZ",41,16,1,9,9,4,8,1,0,1,0,0
"240","RODOLFO AGUILAR",14,7,0,6,6,3,2,0,0,0,0,0
"241","RODOLFO AGUIRRE",29,18,3,12,12,6,7,0,1,0,0,0
"242","RODRIGO VALENZUELA",23,16,0,7,5,9,1,0,0,0,0,0
"243","ROGELIO BERNAL",48,14,0,5,3,9,8,0,2,0,0,0
"244","ROGELIO MARTINEZ",20,6,0,4,3,4,3,0,0,0,0,0
"245","ROLANDO VALDEZ",56,25,2,10,9,9,0,0,2,1,0,0
"246","ROMAN PENA",20,5,0,0,0,1,2,0,0,0,0,0
"247","ROMARIO GIL",38,10,0,7,5,17,6,0,1,0,0,0
"248","RONALD BELISARIO",33,6,0,2,0,11,1,0,2,0,0,4
"249","ROY MERRITT",43,18,1,7,7,8,4,0,0,0,0,0
"250","RUBEN VICENTE",26,10,1,2,1,4,3,0,0,0,0,0
"251","RUDDY ACOSTA",60,19,2,13,11,12,6,0,1,1,0,0
"252","RYAN PEREZ",31,16,4,12,11,6,10,0,0,2,0,0
"253","SALVADOR VALDEZ",45,17,1,10,10,5,6,0,1,0,0,0
"254","SAMUEL ZAZUETA",15,5,0,6,6,5,7,2,0,1,0,1
"255","SANTIAGO GUTIERREZ",22,4,0,3,3,7,3,0,0,0,5,0
"256","SASAGI SANCHEZ",39,15,1,4,2,10,2,0,2,0,1,0
"257","SERGIO ALVARADO",19,6,2,2,2,3,4,0,0,0,0,0
"258","SERGIO MITRE",3,1,0,0,0,1,0,0,0,0,0,0
"259","SERGIO SIERRA",17,12,3,11,10,8,9,0,0,1,0,0
"260","TERANCE MARIN",49,20,1,9,7,9,0,0,1,0,0,0
"261","THOMAS MELGAREJO",17,6,1,1,1,5,2,0,0,0,1,0
"262","TIAGO DA SILVA",56,24,0,12,7,23,4,0,2,1,0,0
"263","TOMAS SOLIS",37,14,0,9,7,4,6,0,0,0,0,0
"264","TONY CORDOVA",3,5,1,1,1,2,1,0,0,1,0,0
"265","TONY GUERRA",21,2,0,0,0,4,5,0,0,0,2,0
"266","TYLER KANE",83,30,6,17,14,8,11,0,1,3,0,0
"267","ULISES JOAQUIN",26,21,3,17,17,4,4,0,0,3,2,0
"268","ULISES LOPEZ",11,3,0,5,5,3,4,0,0,2,0,0
"269","VICTOR ESPINOSA",45,12,3,10,8,12,12,1,0,3,0,0
"270","WES TORREZ",38,17,0,7,6,10,9,0,0,0,0,0
"271","WILMER RIOS",34,13,0,4,4,4,3,0,0,0,0,0
"272","WIRFIN OBISPO",27,12,1,3,3,13,1,0,0,0,0,4
"273","YOANNER NEGRIN",53,21,3,9,9,4,3,0,1,0,0,0
"274","YOHAN FLANDE",82,36,0,14,13,12,4,1,1,0,0,0
"275","YOSSHEL HURTADO",25,9,0,2,2,6,4,0,2,0,0,0
"276","ZACH PHILLIPS",17,11,0,9,6,6,2,0,0,2,2,0
