"","Year","Name","Team","POS","GP","GS","IP","ERA","W","L","SV","SVO","HLD","K","BB","IBB","BF","H","HR","ER","HBP","GIDP","WP"
"196","2019","Tyson Perez","TIJ","P",21,1,"32.0","5.91",0,1,0,1,1,23,10,0,145,40,7,21,1,2,2
"197","2019","Pedro Rodriguez","PUE","P",41,0,"41.0","5.93",6,2,10,16,6,32,13,4,191,59,6,27,1,2,2
"198","2019","Marco Ramirez","LEO","P",40,0,"16.2","5.94",3,1,0,0,6,12,10,0,84,19,1,11,6,1,1
"199","2019","Jorge Perez","TIJ","P",33,0,"45.1","5.96",1,0,0,0,2,23,20,1,213,62,5,30,3,5,3
"200","2019","Yasutomo Kubo","LEO","P",26,24,"152.0","5.98",8,14,0,0,1,154,31,1,664,175,27,101,17,16,8
"201","2019","Hector Galvan","CAM","P",22,17,"91.2","5.99",2,4,0,1,1,70,52,2,432,119,12,61,1,10,9
"202","2019","Brandon Cunniff","TAB","P",26,0,"30.0","6.00",1,5,5,9,1,23,25,3,146,36,6,20,0,4,8
"203","2019","Jose Haros","DUR","P",13,0,"15.0","6.00",0,0,0,0,1,6,3,0,71,21,2,10,1,1,1
"204","2019","Rogelio Martinez","OAX","P",24,5,"39.0","6.00",1,2,0,1,1,28,16,0,185,51,10,26,2,4,5
"205","2019","Alejandro Soto","SLT","P",39,8,"60.2","6.08",4,3,0,1,9,53,20,2,272,80,7,41,3,9,6
"206","2019","Andres Ivan Meza","OAX","P",20,19,"88.2","6.09",8,3,0,0,0,53,29,0,397,115,8,60,1,11,0
"207","2019","Hector Silvestre","AGS","P",23,7,"44.1","6.09",2,4,0,1,5,36,12,1,202,60,11,30,1,3,0
"208","2019","Sergio Mitre","SLT","P",20,19,"103.1","6.10",12,5,0,0,0,63,29,0,468,142,13,70,3,9,9
"209","2019","Miguel Pena","YUC","P",27,12,"67.2","6.12",1,7,0,0,2,57,21,0,313,93,10,46,2,6,0
"210","2019","Jin-Woo Kim","MTY","P",6,5,"25.0","6.12",1,1,0,0,0,14,21,0,118,28,3,17,1,5,3
"211","2019","Jaime Lugo","MVA","P",28,11,"79.1","6.13",7,3,0,0,0,69,27,0,367,112,14,54,3,8,4
"212","2019","Raul Barron","TIG","P",47,0,"41.0","6.15",0,4,0,0,3,23,18,3,177,42,7,28,3,6,3
